"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Cell_type"
"LAP3",0.0102161958486064,8.19880623611474,0.642020509580668,0.520888108707173,0.534755942233025,-7.74191627162424,"Non-Neuronal"
"AHCTF1",-0.0128608589841743,8.34905774556046,-0.63596409525681,0.524827754952367,0.538774010437864,-7.6188207589773,"Non-Neuronal"
"STMN2",-0.0117853408364414,8.27706178368252,-0.635212960951252,0.525317423048127,0.539250203423667,-7.68287863090128,"Non-Neuronal"
"AQR",0.0117402822414476,8.28822994690077,0.633543195549799,0.526406788226114,0.540341922004115,-7.66945231426669,"Non-Neuronal"
"MTA1",-0.0107631960784289,8.23030972617461,-0.632428328009759,0.527134776751914,0.541062608492044,-7.72309899136483,"Non-Neuronal"
"NR2C2",0.010558355094755,8.21402358700608,0.63070189152066,0.52826312198349,0.542194138852573,-7.73671380249224,"Non-Neuronal"
"TRIM56",0.010843209532851,8.1910131215448,0.630282936880814,0.528537123164727,0.542448726877961,-7.75536954202594,"Non-Neuronal"
"RSRC2",-0.0158307941232589,8.49411678202953,-0.626707975833407,0.530878129612006,0.544824596557375,-7.45940762487348,"Non-Neuronal"
"TMEM30A",-0.0166671932003197,8.65338220556559,-0.625775496290938,0.531489613283983,0.545425361761527,-7.21088523599912,"Non-Neuronal"
"PHF20L1",0.0163898347286526,8.61839043963217,0.624720526487404,0.532181851644576,0.546108935993108,-7.25324407444749,"Non-Neuronal"
"UHRF2",-0.0114713082031379,8.28420700285516,-0.623376689485424,0.533064296619497,0.546987617799857,-7.68201234206591,"Non-Neuronal"
"MFSD6",0.0121400478271632,8.29351596591043,0.622827112509475,0.533425395380908,0.547331276128479,-7.67037769129462,"Non-Neuronal"
"POM121C",-0.0100287110621373,8.2500248059898,-0.622170085494952,0.533857256288689,0.547747503997722,-7.71486223856595,"Non-Neuronal"
