"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Cell_type"
"GFRA3",-0.153995264078344,7.15175169157638,-10.3519164572289,2.10473758393493e-24,1.41451750733434e-23,44.5725957171942,"GABAergic"
"AL731661.2",-0.153387935889552,7.15070182850192,-10.3516913814591,2.10940090528917e-24,1.41673219686299e-23,44.5703720156067,"GABAergic"
"RTL4",-0.153387935889552,7.15070182850192,-10.3516913814591,2.10940090528917e-24,1.41673219686299e-23,44.5703720156067,"GABAergic"
"MS4A7",-0.153539963974736,7.15134713630361,-10.3515804267294,2.1117035331368e-24,1.4178189718594e-23,44.5693263313386,"GABAergic"
"NOXO1",-0.182469478075125,7.16782050070657,-10.3514742262712,2.1139098305089e-24,1.41884038623884e-23,44.5689591964015,"GABAergic"
"AL662907.3",-0.159087928064283,7.15568117074531,-10.3512925682732,2.11768904567676e-24,1.42091652747336e-23,44.5666778831901,"GABAergic"
"AC009159.3",-0.155155974988638,7.15413916173798,-10.3510840602681,2.12203510672303e-24,1.4233715403353e-23,44.5646672973767,"GABAergic"
"AC079950.1",-0.154510252500883,7.1527121369908,-10.3509018993158,2.12583923704473e-24,1.42499149026571e-23,44.5628296285089,"GABAergic"
"AC091132.5",-0.164834122067105,7.1559622547236,-10.3508627643761,2.1266573875084e-24,1.42499149026571e-23,44.5625249066037,"GABAergic"
"PTF1A",-0.160376597580646,7.15128223384377,-10.3508367176922,2.12720208946149e-24,1.42499149026571e-23,44.5619671114643,"GABAergic"
"AL109976.1",-0.160376597580646,7.15128223384377,-10.3508367176922,2.12720208946149e-24,1.42499149026571e-23,44.5619671114643,"GABAergic"
"FAM84B",-0.174162900154708,7.16770622787874,-10.3501945296795,2.14067569908854e-24,1.43355369399356e-23,44.5565111358142,"GABAergic"
"CAPNS2",-0.154077023030397,7.15176104353139,-10.3499152109115,2.14656239990866e-24,1.43618875444101e-23,44.553261282375,"GABAergic"
"LINC01821",-0.158238307881646,7.15296555957967,-10.3499102875518,2.14666630454948e-24,1.43618875444101e-23,44.5532517207086,"GABAergic"
"AL450384.1",-0.15737053495282,7.15291404350212,-10.3498833327915,2.14723525747624e-24,1.43618875444101e-23,44.5529863908687,"GABAergic"
"KLKB1",-0.194888579166079,7.17536595442809,-10.3498685555569,2.14754723432289e-24,1.43618875444101e-23,44.5535987976906,"GABAergic"
"AC010163.1",-0.153558732151666,7.15146701905126,-10.3498311842519,2.14833641755034e-24,1.43618875444101e-23,44.5524377576905,"GABAergic"
"LINC02298",-0.1656481119506,7.16176392678512,-10.3498036183877,2.14891872004285e-24,1.43618875444101e-23,44.5526060716768,"GABAergic"
"MIS18A-AS1",-0.155152887481705,7.15368418104615,-10.3497778037396,2.14946417166375e-24,1.43618875444101e-23,44.5519957292428,"GABAergic"
"AC012507.2",-0.161959401374717,7.15232830377852,-10.3496062873977,2.15309172054699e-24,1.43814862327281e-23,44.5501141519616,"GABAergic"
"AC113382.2",-0.157391694569153,7.15182123898833,-10.3494247620732,2.15693756994089e-24,1.43995481925216e-23,44.5484992452812,"GABAergic"
"SLC22A4",-0.1736289897302,7.16418696562505,-10.349404021271,2.15737742407082e-24,1.43995481925216e-23,44.5488012654295,"GABAergic"
"LINC01007",-0.16127015119936,7.15302827789825,-10.3493802616901,2.15788140730879e-24,1.43995481925216e-23,44.5480979283703,"GABAergic"
"COL17A1",-0.153685680162054,7.15160981161713,-10.3492657002819,2.16031309869149e-24,1.4411132113751e-23,44.5469857487521,"GABAergic"
"C1QA",-0.153520601743851,7.15138348382731,-10.3491165135256,2.16348382425507e-24,1.4427636977397e-23,44.5455375771477,"GABAergic"
"IRF5",-0.172178446770157,7.16236369929532,-10.3489036433665,2.16801602912907e-24,1.44532075994047e-23,44.5439254697878,"GABAergic"
"TFEC",-0.153594268215488,7.15170209416435,-10.3487061251875,2.1722297951912e-24,1.44766395584927e-23,44.5416187574921,"GABAergic"
"AC015727.1",-0.157246962688964,7.15188934728772,-10.3483232003403,2.18042209040145e-24,1.45265624826263e-23,44.537873241959,"GABAergic"
"AC137630.4",-0.164009389612787,7.15604803169856,-10.347953643054,2.188357445953e-24,1.45747420508117e-23,44.5344412564033,"GABAergic"
"AL360091.3",-0.154057665366257,7.15177453755883,-10.347802692559,2.1916069760842e-24,1.45916924768988e-23,44.5328639946934,"GABAergic"
"AC008121.2",-0.153913302471272,7.15164997028377,-10.3473946036575,2.20041592672072e-24,1.46456346690766e-23,44.5289107117516,"GABAergic"
"AC092159.2",-0.154026934064827,7.15181354182141,-10.347298197189,2.20250206437109e-24,1.46548105555151e-23,44.5279977195265,"GABAergic"
"AC096734.2",-0.156305033138896,7.15440047386836,-10.3472275282079,2.20403251451207e-24,1.46572934803853e-23,44.5273867856986,"GABAergic"
"CR769775.2",-0.1536784918596,7.15162130550425,-10.3472046712694,2.20452774381253e-24,1.46572934803853e-23,44.5270847662119,"GABAergic"
"BDNF",-0.157898471934588,7.15554442691247,-10.3471818795678,2.205021669517e-24,1.46572934803853e-23,44.5271109199454,"GABAergic"
"VAV3-AS1",-0.1603948165421,7.1512882333675,-10.3471503204367,2.20570577793468e-24,1.46572934803853e-23,44.5263660738482,"GABAergic"
"AC100810.3",-0.164121989064455,7.15251306845975,-10.3469521180247,2.21000703230248e-24,1.46786422820161e-23,44.5244888323851,"GABAergic"
"CNN1",-0.154145141794094,7.15286225701072,-10.3469369844291,2.21033579286478e-24,1.46786422820161e-23,44.5245389308686,"GABAergic"
"SINHCAF",-0.154329165919648,7.15179091694109,-10.3466131590579,2.21738217091238e-24,1.47207169570859e-23,44.5213695524054,"GABAergic"
"ZPBP",-0.157443046773074,7.15185489660909,-10.3465232487952,2.21934254835881e-24,1.47254075860703e-23,44.5204877335196,"GABAergic"
"AC099063.4",-0.154223825897054,7.1539681953567,-10.3464871438326,2.22013025404959e-24,1.47254075860703e-23,44.520350587261,"GABAergic"
"TAF1L",-0.153333100628958,7.15070608627489,-10.3464829624252,2.22022149815563e-24,1.47254075860703e-23,44.520074522538,"GABAergic"
"CTAGE6",-0.153331265316138,7.15070970624414,-10.3462816506826,2.22461880078936e-24,1.47280243859007e-23,44.5181316879704,"GABAergic"
"PTAFR",-0.153331642037975,7.15075499663869,-10.3461027171811,2.22853453787622e-24,1.47280243859007e-23,44.5164142798563,"GABAergic"
"FCRLA",-0.153331642037975,7.15075499663869,-10.3461027171811,2.22853453787622e-24,1.47280243859007e-23,44.5164142798563,"GABAergic"
"RGS18",-0.153331642037975,7.15075499663869,-10.3461027171811,2.22853453787622e-24,1.47280243859007e-23,44.5164142798563,"GABAergic"
"LHX9",-0.153331642037975,7.15075499663869,-10.3461027171811,2.22853453787622e-24,1.47280243859007e-23,44.5164142798563,"GABAergic"
"INPP5D",-0.153331642037975,7.15075499663869,-10.3461027171811,2.22853453787622e-24,1.47280243859007e-23,44.5164142798563,"GABAergic"
"TREM2",-0.153331642037975,7.15075499663869,-10.3461027171811,2.22853453787622e-24,1.47280243859007e-23,44.5164142798563,"GABAergic"
"IL6",-0.153331642037975,7.15075499663869,-10.3461027171811,2.22853453787622e-24,1.47280243859007e-23,44.5164142798563,"GABAergic"
"CSF2RA",-0.153331642037975,7.15075499663869,-10.3461027171811,2.22853453787622e-24,1.47280243859007e-23,44.5164142798563,"GABAergic"
"AL161912.2",-0.153331642037975,7.15075499663869,-10.3461027171811,2.22853453787622e-24,1.47280243859007e-23,44.5164142798563,"GABAergic"
"ITGB2-AS1",-0.153331642037975,7.15075499663869,-10.3461027171811,2.22853453787622e-24,1.47280243859007e-23,44.5164142798563,"GABAergic"
"RNF182",-0.162418120149953,7.15303652395865,-10.3460746819792,2.22914867232166e-24,1.47280243859007e-23,44.5160324316831,"GABAergic"
"HDHD5-AS1",-0.197578322167509,7.1903852164259,-10.3459913331574,2.23097548887088e-24,1.47353939097521e-23,44.5164943088337,"GABAergic"
"AC107905.1",-0.153841087129908,7.15168637270478,-10.3457315686039,2.23667846428636e-24,1.47683522571767e-23,44.512863632337,"GABAergic"
"AL139099.1",-0.155607648267125,7.15280319632385,-10.3455944219937,2.23969526391207e-24,1.47835589551978e-23,44.5115812867642,"GABAergic"
"AC007786.1",-0.153994338829222,7.15302661963445,-10.3452046164994,2.24829182143176e-24,1.48355745451787e-23,44.5078832442157,"GABAergic"
"AP001922.5",-0.154327304217735,7.15182134971916,-10.3446125809129,2.26141086652096e-24,1.49173895790601e-23,44.5020663924318,"GABAergic"
"SEMA3B-AS1",-0.153313695031636,7.15076247580865,-10.3443618534971,2.26698964172962e-24,1.49399161467215e-23,44.4996097637828,"GABAergic"
"AC012629.2",-0.153313695031636,7.15076247580865,-10.3443618534971,2.26698964172962e-24,1.49399161467215e-23,44.4996097637828,"GABAergic"
"AL031963.1",-0.153313695031636,7.15076247580865,-10.3443618534971,2.26698964172962e-24,1.49399161467215e-23,44.4996097637828,"GABAergic"
"GPR45",-0.153660995724869,7.1516552524839,-10.3441464442926,2.27179347017329e-24,1.49668123879451e-23,44.4975655188682,"GABAergic"
"GPA33",-0.153760334735543,7.15173570370134,-10.3437098012941,2.28156200698485e-24,1.50263891417098e-23,44.4933548820511,"GABAergic"
"AP005433.1",-0.153864029313771,7.15175069343753,-10.3433218863028,2.29027533299741e-24,1.50789578051655e-23,44.4896074255008,"GABAergic"
"AC124283.1",-0.154070346807605,7.15180777829023,-10.343289696232,2.29099986543985e-24,1.50789578051655e-23,44.4892983237249,"GABAergic"
"TRIM59",-0.164048732590997,7.15849485335454,-10.3429523460457,2.29860660985513e-24,1.51242181416548e-23,44.4863269888484,"GABAergic"
"KLRF1",-0.153295618900789,7.1507705149541,-10.3426059896106,2.3064424850457e-24,1.51661406961116e-23,44.482663102527,"GABAergic"
"ZNF729",-0.153295618900789,7.1507705149541,-10.3426059896106,2.3064424850457e-24,1.51661406961116e-23,44.482663102527,"GABAergic"
"MATN1",-0.154924709893518,7.15365691615455,-10.3425171365956,2.30845693685631e-24,1.51745695122516e-23,44.4819033861684,"GABAergic"
"RERGL",-0.153283037887601,7.15086800845106,-10.3420025210555,2.32015851979623e-24,1.52466508313894e-23,44.4768605302736,"GABAergic"
"LINC01416",-0.161188410802757,7.15300972700125,-10.3419015561993,2.32246120023324e-24,1.52569422265878e-23,44.4758984224503,"GABAergic"
"AL035409.1",-0.1614750814553,7.15399419815927,-10.3418482689952,2.32367742165895e-24,1.52600920845979e-23,44.4754356454003,"GABAergic"
"HAS2",-0.153284370410715,7.15073453298722,-10.3416501283181,2.32820530532545e-24,1.52801383045646e-23,44.4734295840828,"GABAergic"
"SLC37A2",-0.153284370410715,7.15073453298722,-10.3416501283181,2.32820530532545e-24,1.52801383045646e-23,44.4734295840828,"GABAergic"
"AL137847.1",-0.153646787331313,7.15165915709506,-10.3413396055346,2.33531893301012e-24,1.5321970560481e-23,44.4704765274378,"GABAergic"
"MROH7-TTC4",-0.15866238153293,7.15288792917824,-10.3411101695055,2.34058882023416e-24,1.53516834178309e-23,44.4682681124501,"GABAergic"
"AC108471.2",-0.185721805485516,7.17648903303057,-10.3405592803444,2.35329031550901e-24,1.54301051931428e-23,44.4638707753524,"GABAergic"
"ACKR3",-0.153269522856482,7.15071128300661,-10.3404151842247,2.35662390692891e-24,1.54421863284462e-23,44.4615064629856,"GABAergic"
"AC068870.2",-0.153269522856482,7.15071128300661,-10.3404151842247,2.35662390692891e-24,1.54421863284462e-23,44.4615064629856,"GABAergic"
"TNFAIP6",-0.154734897480959,7.15189292229553,-10.340247327152,2.36051310023055e-24,1.54627792046412e-23,44.4599428046585,"GABAergic"
"FAM87A",-0.160407135502381,7.15129228995824,-10.3401564593184,2.36262113236244e-24,1.54696916147608e-23,44.4588540237034,"GABAergic"
"AL449403.1",-0.16114600377322,7.15421957357067,-10.3401374634401,2.3630620513254e-24,1.54696916147608e-23,44.4589397281038,"GABAergic"
"ITPK1-AS1",-0.161393924199401,7.15495375744127,-10.3398996781946,2.36858826254302e-24,1.55009695677895e-23,44.4566530201559,"GABAergic"
"Z82243.1",-0.174783332275347,7.16269113143475,-10.3398623668133,2.36945655418932e-24,1.55017541399e-23,44.4566438691927,"GABAergic"
