"gene_name","module","color","kME_turquoise","kME_blue","kME_grey","kME_yellow","kME_black","kME_brown","kME_green","kME_red"
"Kif1a","blue","blue",0.1618391426327,0.187029760729312,0.165967582239807,0.104083912951574,0.0940966740938714,0.0684145133076586,0.164473035397333,0.0454735723483645
"Hdlbp","grey","grey",0.121356500234595,0.120279554395322,0.150666573163856,0.0819047726631716,0.0790934721798092,0.0520406346403504,0.118915268593477,0.0589452823133912
"Stk25","grey","grey",0.0948647628570115,0.0866194530970494,0.155800412680297,0.128399994746326,0.0875133430606426,0.0514847371409905,0.13189651267106,0.109380026793901
"Fam174a","turquoise","turquoise",0.175419895594609,0.103110164166756,0.108863504773688,0.0227476796725102,-0.00987026284794353,0.102753549088391,0.0778213018053907,0.020474310207167
"Ppip5k2","blue","blue",0.0499778528393548,0.137995449165429,0.0908871958244972,0.0290178596450649,0.121661093957586,-0.029963988938293,0.0845909682744642,-0.0113658030296079
"Gin1","grey","grey",0.0359458513252399,0.0484239855136901,0.0707684625995449,0.0273203871629746,0.0568702462108487,0.0213565553874182,0.0347567901349233,0.0398805599704107
"Pam","blue","blue",0.134445126462835,0.177413076851218,0.151913793231518,0.0698723502587736,0.0742397278029121,0.0334313624400759,0.133422578011571,0.0397986506333157
"2310035C23Rik","grey","grey",0.0533174985130615,0.0661621638295223,0.103743347994112,0.0599794885032178,0.0734658977457989,0.019521994235914,0.0696444456956201,0.0571487146620997
"Vps4b","grey","grey",0.0621816499278325,0.0590401329791654,0.0873153436131991,0.0499567561128829,0.0400462094495169,0.0334807907961163,0.0595881052217298,0.0478957169479226
"Cntnap5a","grey","grey",0.0846900884282721,0.203673436633328,0.176993462250761,0.00441326252039653,0.189068488733013,0.101738407693865,0.0696785671444459,0.0825849275656242
"Tsn","grey","grey",0.096409794709848,0.0869084892996475,0.11432593575236,0.059662753170711,0.0495786038021755,0.0559576138157153,0.0804274884935535,0.0490226795407501
"Clasp1","grey","grey",0.0523292939286577,0.0577589092972844,0.11786066260677,0.119760508681423,0.0804459213993857,0.00864744519101703,0.108508805890251,0.0939261611296926
"Ptpn4","blue","blue",0.110302957800091,0.156261756414635,0.0881961944179591,0.0186606438612523,0.0616077661851992,0.00158226845465264,0.104475761281352,-0.0496452967147717
"Dpp10","green","green",0.108880027192472,0.0936598096159921,0.137739585978905,0.137441369017976,0.0441485166913779,-0.0111772349731202,0.179665141412041,0.0613065744022278
"Gm28928","yellow","yellow",0.151143758248386,0.131940771239456,0.313392219556198,0.412168202180253,0.170618835490887,-0.0292772812428575,0.368840523431678,0.236336896974251
"Actr3","grey","grey",0.104483962591141,0.0501883827718212,0.141783957261604,0.0822172226462887,0.0416484661194096,0.119485114664429,0.0650198683434588,0.140297937429451
"Mgat5","grey","grey",0.129489964672003,0.0687149644532535,0.19769038749824,0.1758452572569,0.0552320766396318,0.0257922619658075,0.157642618077734,0.147016849070343
"Ccnt2","brown","brown",-0.0493374526212997,0.0231101791909587,0.0676519427085936,0.0564973539976531,0.10600660126467,0.014164865130724,0.0157724490256516,0.116427251222701
"Rab3gap1","grey","grey",0.0895306737702297,0.0870849752480705,0.143574140756538,0.10013661102411,0.0772333735386797,0.0511639855287733,0.105521980659957,0.089181065341855
"R3hdm1","yellow","yellow",-0.107001447155641,-0.117252450337234,0.170831835475108,0.541875248552833,0.121921306807376,-0.17717220099591,0.289067318943851,0.375190891649966
"Ubxn4","grey","grey",0.0849334882841965,0.10141279383946,0.0953143345988638,0.00208315030839178,0.0749656887229912,0.0727689380052798,0.0414559367584974,0.0151979297945826
"Srgap2","blue","blue",0.0955998227017137,0.17210879204363,0.113044907108379,0.00555044820899703,0.109133179925574,0.010547374594674,0.0933935315192133,-0.0332236693898267
"Nucks1","grey","grey",0.151116111908208,0.0815444617924573,0.127057578141125,0.0937819152290672,0.00380271988525116,0.118173116685589,0.10791147435033,0.0783238229711679
"Mfsd4a","grey","grey",0.0627979049239019,0.0692838933118847,0.114969779294072,0.095573661643895,0.077060509978844,0.0654495122891889,0.0969519891781596,0.108263189612775
"Nfasc","grey","grey",0.027347600647728,0.0391148300571796,0.0685085407625378,0.0352768341956269,0.0606159742834992,-0.0288123071691953,0.0516232188788833,0.00335303807538806
"Mdm4","blue","blue",0.0254090285428381,0.104912593949423,0.0472899483006683,-0.0416929371844203,0.0921309743182426,-0.0209875058077189,0.0121181127154473,-0.0413500963535653
"Snrpe","brown","brown",0.0912433585744783,0.0380012938279091,0.0584098653068812,0.037789448144625,-0.0136556290767046,0.124914456505565,0.043912328120835,0.0490115837887873
"Atp2b4","grey","grey",0.0684877936337221,-0.0290979872706453,0.200245123727012,0.217554380589943,0.0579289749022627,0.0910911042254929,0.13236389759824,0.237145186573736
"Klhl12","grey","grey",0.0244561141249208,0.0498828295224039,0.0546072523084457,0.018560031697952,0.0597126357037815,0.0162863368968325,0.0327319712168794,0.0197943249538809
